L4 | Sat Jan 18 00:07:20 2020 (615 ms) | general | exiting: calling SDL_CloseAudio
L4 | Sat Jan 18 00:24:49 2020 (540 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sat Jan 18 00:24:49 2020 (540 ms) | general |    1600 x 1200

L5 | Sat Jan 18 00:24:49 2020 (540 ms) | general |    1440 x 900

L4 | Sat Jan 18 00:24:49 2020 (540 ms) | general |    ^^^^ this mode matches current aspect ratio
L4 | Sat Jan 18 00:24:49 2020 (540 ms) | general |    ^^^^ this mode matches requested mode
L5 | Sat Jan 18 00:24:49 2020 (540 ms) | general |    1400 x 1050

L5 | Sat Jan 18 00:24:49 2020 (540 ms) | general |    1360 x 768

L5 | Sat Jan 18 00:24:49 2020 (540 ms) | general |    1280 x 1024

L5 | Sat Jan 18 00:24:49 2020 (540 ms) | general |    1280 x 960

L5 | Sat Jan 18 00:24:49 2020 (540 ms) | general |    1280 x 800

L4 | Sat Jan 18 00:24:49 2020 (540 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sat Jan 18 00:24:49 2020 (540 ms) | general |    1280 x 768

L5 | Sat Jan 18 00:24:49 2020 (540 ms) | general |    1152 x 864

L5 | Sat Jan 18 00:24:49 2020 (540 ms) | general |    1024 x 768

L5 | Sat Jan 18 00:24:49 2020 (540 ms) | general |    800 x 600

L5 | Sat Jan 18 00:24:49 2020 (540 ms) | general |    640 x 480

L4 | Sat Jan 18 00:24:49 2020 (640 ms) | general | Successfully opened audio: 44100Hz (requested 44100Hz), sample buffer size=512 (requested 1024)

L4 | Sat Jan 18 00:24:49 2020 (887 ms) | general | Recording game into file recordedGames/recordedGame000088.txt
L4 | Sat Jan 18 00:24:49 2020 (887 ms) | general | Only keeping 20 past recordings
L4 | Sat Jan 18 00:24:49 2020 (887 ms) | general | Removed 1 stale recordings
L4 | Sat Jan 18 00:24:49 2020 (921 ms) | general | OneLife client v219 (binV=219, dataV=0) starting up
L4 | Sat Jan 18 00:25:47 2020 (23 ms) | general | exiting...

L4 | Sat Jan 18 00:25:47 2020 (23 ms) | general | exiting: calling SDL_CloseAudio

L4 | Sat Jan 18 00:25:47 2020 (253 ms) | general | exiting: Deleting sceneHandler

L4 | Sat Jan 18 00:25:47 2020 (253 ms) | general | Freeing sound sprites

L4 | Sat Jan 18 00:25:47 2020 (253 ms) | general | exiting: freeing frameDrawer

L4 | Sat Jan 18 00:25:47 2020 (344 ms) | general | exiting: Deleting screen

L4 | Sat Jan 18 00:25:47 2020 (344 ms) | general | exiting: freeing drawString

L4 | Sat Jan 18 00:25:47 2020 (345 ms) | general | exiting: calling SDL_Quit()

L4 | Sat Jan 18 00:25:47 2020 (364 ms) | general | exiting: Done.

L4 | Sat Jan 18 00:25:53 2020 (496 ms) | general | New game starting up
L4 | Sat Jan 18 00:25:53 2020 (496 ms) | general | Target game image size:  1280x720

L4 | Sat Jan 18 00:25:53 2020 (496 ms) | general | Ideal window dimensions:  1280x720

L4 | Sat Jan 18 00:25:53 2020 (496 ms) | general | Trying to start in fullscreen mode.
L4 | Sat Jan 18 00:25:53 2020 (496 ms) | general | The following frame rates are considered possible:
L4 | Sat Jan 18 00:25:53 2020 (496 ms) | general | 30 fps
